2023-10-07 03:25:53 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [34/200] Loss:[0.0878] Train:[36.96] Val:[41.15] Biased Test:[33.25] Update Biased Test:[40.52] Best Biased Test:[40.52]| Unbiased Test:[50.37]  Update Unbiased Test:[50.85] Best Unbiased Test:[55.56]| epoch:[7] | Time:[10.98 min] | [1.09%] [42.04%] [18.14%] [12.59%] [26.14%]
2023-10-07 03:26:12 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [35/200] Loss:[0.0940] Train:[34.81] Val:[38.85] Biased Test:[31.35] Update Biased Test:[40.52] Best Biased Test:[40.52]| Unbiased Test:[47.57]  Update Unbiased Test:[50.85] Best Unbiased Test:[55.56]| epoch:[7] | Time:[11.29 min] | [0.55%] [44.89%] [18.29%] [10.89%] [25.38%]
2023-10-07 03:26:31 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [36/200] Loss:[0.0842] Train:[32.74] Val:[42.67] Biased Test:[35.77] Update Biased Test:[40.52] Best Biased Test:[40.52]| Unbiased Test:[51.77]  Update Unbiased Test:[50.85] Best Unbiased Test:[55.56]| epoch:[7] | Time:[11.62 min] | [0.64%] [42.07%] [21.26%] [12.61%] [23.42%]
2023-10-07 03:26:51 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [37/200] Loss:[0.0788] Train:[36.44] Val:[42.73] Biased Test:[33.54] Update Biased Test:[40.52] Best Biased Test:[40.52]| Unbiased Test:[52.26]  Update Unbiased Test:[50.85] Best Unbiased Test:[55.56]| epoch:[7] | Time:[11.94 min] | [0.00%] [38.32%] [23.80%] [13.17%] [24.71%]
2023-10-07 03:27:10 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [38/200] Loss:[0.0879] Train:[38.73] Val:[45.35] Biased Test:[40.00] Update Biased Test:[40.52] Best Biased Test:[40.52]| Unbiased Test:[51.38]  Update Unbiased Test:[50.85] Best Unbiased Test:[55.56]| epoch:[7] | Time:[12.26 min] | [0.00%] [37.43%] [21.89%] [14.14%] [26.55%]
2023-10-07 03:27:29 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [39/200] Loss:[0.0734] Train:[38.39] Val:[43.13] Biased Test:[35.01] Update Biased Test:[40.52] Best Biased Test:[40.52]| Unbiased Test:[52.25]  Update Unbiased Test:[50.85] Best Unbiased Test:[55.56]| epoch:[7] | Time:[12.58 min] | [0.65%] [32.23%] [30.73%] [10.64%] [25.75%]
2023-10-07 03:27:49 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [40/200] Loss:[0.0662] Train:[39.98] Val:[43.65] Biased Test:[34.63] Update Biased Test:[40.52] Best Biased Test:[40.52]| Unbiased Test:[54.12]  Update Unbiased Test:[50.85] Best Unbiased Test:[55.56]| epoch:[7] | Time:[12.91 min] | [0.43%] [34.94%] [28.50%] [10.66%] [25.46%]
2023-10-07 03:28:08 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [41/200] Loss:[0.0656] Train:[39.58] Val:[44.16] Biased Test:[36.10] Update Biased Test:[40.52] Best Biased Test:[40.52]| Unbiased Test:[55.43]  Update Unbiased Test:[50.85] Best Unbiased Test:[55.56]| epoch:[7] | Time:[13.23 min] | [0.17%] [35.02%] [26.58%] [13.03%] [25.19%]
2023-10-07 03:28:29 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [42/200] Loss:[0.0772] Train:[38.85] Val:[44.30] Biased Test:[37.68] Update Biased Test:[40.52] Best Biased Test:[40.52]| Unbiased Test:[52.19]  Update Unbiased Test:[50.85] Best Unbiased Test:[55.56]| epoch:[7] | Time:[13.57 min] | [0.25%] [34.53%] [26.23%] [12.41%] [26.58%]
2023-10-07 03:28:48 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [43/200] Loss:[0.0753] Train:[38.99] Val:[36.68] Biased Test:[28.30] Update Biased Test:[40.52] Best Biased Test:[40.52]| Unbiased Test:[46.59]  Update Unbiased Test:[50.85] Best Unbiased Test:[55.56]| epoch:[7] | Time:[13.89 min] | [0.54%] [34.74%] [28.04%] [12.67%] [24.02%]
